Zaterdag 21 september 2019	Hoofddorp Pioniers 	Quick Amersfoort DS1 	7 - 3 	21417 	
Zaterdag 21 september 2019	Hoofddorp Pioniers 	Quick Amersfoort DS1 	8 - 4 	21418 	
Zaterdag 21 september 2019	Twins Oosterhout 	Amsterdam Pirates DS1 	0 - 3 	21399 	
Zaterdag 21 september 2019	Twins Oosterhout 	Amsterdam Pirates DS1 	4 - 5 	21400 	
Zaterdag 21 september 2019	DSS 	Tex Town Tigers 	0 - 7 	21377 	
Zaterdag 21 september 2019	DSS 	Tex Town Tigers 	2 - 1 	21378 	
Woensdag 18 september 2019	Quick Amersfoort DS1 	DSS 	4 - 3 	21414 	
Zaterdag 14 september 2019	Amsterdam Pirates DS1 	Quick Amersfoort DS1 	0 - 4 	21415 	
Zaterdag 14 september 2019	Amsterdam Pirates DS1 	Quick Amersfoort DS1 	3 - 1 	21416 	
Zaterdag 14 september 2019	Hoofddorp Pioniers 	DSS 	7 - 4 	21375 	
Zaterdag 14 september 2019	Hoofddorp Pioniers 	DSS 	1 - 4 	21376 	
Zaterdag 14 september 2019	Tex Town Tigers 	Twins Oosterhout 	2 - 1 	21387 	
Zaterdag 14 september 2019	Tex Town Tigers 	Twins Oosterhout 	5 - 4 	21388 	
Donderdag 12 september 2019	Quick Amersfoort DS1 	DSS 	2 - 1 	21413 	
Zaterdag 07 september 2019	Amsterdam Pirates DS1 	Tex Town Tigers 	0 - 7 	21397 	
Zaterdag 07 september 2019	Amsterdam Pirates DS1 	Tex Town Tigers 	2 - 4 	21398 	
Zaterdag 07 september 2019	Twins Oosterhout 	Hoofddorp Pioniers 	3 - 7 	21385 	
Zaterdag 07 september 2019	Twins Oosterhout 	Hoofddorp Pioniers 	1 - 8 	21386 	
Zaterdag 31 augustus 2019	DSS 	Twins Oosterhout 	6 - 7 	21383 	
Zaterdag 31 augustus 2019	DSS 	Twins Oosterhout 	3 - 15 	21384 	
Zaterdag 31 augustus 2019	Hoofddorp Pioniers 	Amsterdam Pirates DS1 	6 - 2 	21395 	
Zaterdag 31 augustus 2019	Hoofddorp Pioniers 	Amsterdam Pirates DS1 	6 - 0 	21396 	
Zaterdag 31 augustus 2019	Tex Town Tigers 	Quick Amersfoort DS1 	8 - 1 	21411 	
Zaterdag 31 augustus 2019	Tex Town Tigers 	Quick Amersfoort DS1 	5 - 7 	21412 	
