Zondag 28 juli 2019	Curaçao Neptunus 	Silicon Storks 	8 - 2 	608 	
Zondag 28 juli 2019	DSS 	Quick Amersfoort 	5 - 3 	545 	
Zondag 28 juli 2019	L&D Amsterdam 	Hoofddorp Pioniers 	1 - 0 	629 	
Zondag 28 juli 2019	HCAW 	Twins Oosterhout 	2 - 0 	566 	


Zaterdag 27 juli 2019	Hoofddorp Pioniers 	L&D Amsterdam 	4 - 1 	587 	
Zaterdag 27 juli 2019	Quick Amersfoort 	DSS 	7 - 5 	650 	
Zaterdag 27 juli 2019	Silicon Storks 	Curaçao Neptunus 	0 - 11 	671 	
Zaterdag 27 juli 2019	Twins Oosterhout 	HCAW 	13 - 4 	692 	

Donderdag 25 juli 2019	Curaçao Neptunus 	Silicon Storks 	9 - 2 	607 	
Donderdag 25 juli 2019	DSS 	Quick Amersfoort 	1 - 12 	544 	
Donderdag 25 juli 2019	HCAW 	Twins Oosterhout 	2 - 3 	565 	
Donderdag 25 juli 2019	L&D Amsterdam 	Hoofddorp Pioniers 	12 - 2 	628 	
Zondag 07 juli 2019	Hoofddorp Pioniers 	Curaçao Neptunus 	0 - 1 	586 	
Zondag 07 juli 2019	Quick Amersfoort 	L&D Amsterdam 	0 - 11 	649 	
Zondag 07 juli 2019	Silicon Storks 	HCAW 	6 - 3 	670 	
Zondag 07 juli 2019	Twins Oosterhout 	DSS 	4 - 16 	691 	
Zaterdag 06 juli 2019	Curaçao Neptunus 	Hoofddorp Pioniers 	6 - 3 	606 	
Zaterdag 06 juli 2019	DSS 	Twins Oosterhout 	13 - 6 	543 	
Zaterdag 06 juli 2019	L&D Amsterdam 	Quick Amersfoort 	5 - 4 	627 	
Zaterdag 06 juli 2019	HCAW 	Silicon Storks 	9 - 1 	564 	
Donderdag 04 juli 2019	Hoofddorp Pioniers 	Curaçao Neptunus 	1 - 3 	585 	
Donderdag 04 juli 2019	Quick Amersfoort 	L&D Amsterdam 	6 - 11 	648 	
Donderdag 04 juli 2019	Silicon Storks 	HCAW 	0 - 7 	669 	
Donderdag 04 juli 2019	Twins Oosterhout 	DSS 	0 - 14 	690 	
Donderdag 27 juni 2019	Curaçao Neptunus 	L&D Amsterdam 	1 - 7 	602 	
Woensdag 26 juni 2019	L&D Amsterdam 	Curaçao Neptunus 	3 - 1 	622 	
Dinsdag 25 juni 2019	Curaçao Neptunus 	L&D Amsterdam 	6 - 10 	601 	
Zondag 23 juni 2019	Curaçao Neptunus 	Quick Amersfoort 	8 - 3 	605 	
Zondag 23 juni 2019	L&D Amsterdam 	DSS 	7 - 2 	626 	
Zondag 23 juni 2019	Twins Oosterhout 	Silicon Storks 	5 - 4 	689 	
Zondag 23 juni 2019	HCAW 	Hoofddorp Pioniers 	1 - 3 	563 	
