Zaterdag 03 augustus 2019	DSS 	Twins Oosterhout 	5 - 8 	947 	
Zaterdag 03 augustus 2019	DSS 	Twins Oosterhout 	3 - 2 	946 	
Zaterdag 03 augustus 2019	FysioExpert Olympia Haarlem 	Terrasvogels 	7 - 0 	1184 	
Zaterdag 03 augustus 2019	FysioExpert Olympia Haarlem 	Terrasvogels 	3 - 2 	1183 	
Zaterdag 03 augustus 2019	Hoofddorp Pioniers 	Tex Town Tigers 	4 - 3 	994 	
Zaterdag 03 augustus 2019	Hoofddorp Pioniers 	Tex Town Tigers 	3 - 6 	993 	
Zaterdag 03 augustus 2019	Sparks Haarlem 	ROEF! 	2 - 6 	1105 	
Zaterdag 03 augustus 2019	Sparks Haarlem 	ROEF! 	1 - 11 	1104 	
Zaterdag 13 juli 2019	FysioExpert Olympia Haarlem 	DSS 	8 - 1 	1165 	
Zaterdag 13 juli 2019	FysioExpert Olympia Haarlem 	DSS 	7 - 2 	1164 	
Zaterdag 13 juli 2019	Hoofddorp Pioniers 	Terrasvogels 	0 - 3 	1004 	
Zaterdag 13 juli 2019	Hoofddorp Pioniers 	Terrasvogels 	1 - 7 	1003 	
Zaterdag 13 juli 2019	Sparks Haarlem 	Twins Oosterhout 	9 - 3 	1111 	
Zaterdag 13 juli 2019	Sparks Haarlem 	Twins Oosterhout 	10 - 3 	1110 	
Zaterdag 13 juli 2019	Tex Town Tigers 	ROEF! 	2 - 3 	1127 	
Zaterdag 13 juli 2019	Tex Town Tigers 	ROEF! 	4 - 5 	1126 	
Zondag 23 juni 2019	Sparks Haarlem 	FysioExpert Olympia Haarlem 	4 - 5 	1114 	
Zondag 23 juni 2019	Sparks Haarlem 	FysioExpert Olympia Haarlem 	4 - 0 	1113 	
Zaterdag 22 juni 2019	Terrasvogels 	ROEF! 	4 - 6 	1215 	
Zaterdag 22 juni 2019	Terrasvogels 	ROEF! 	0 - 4 	1214 	
Zaterdag 22 juni 2019	DSS 	Sparks Haarlem 	0 - 5 	941 	
Zaterdag 22 juni 2019	DSS 	Sparks Haarlem 	2 - 6 	940 	
Zaterdag 22 juni 2019	FysioExpert Olympia Haarlem 	Tex Town Tigers 	3 - 0 	1177 	
Zaterdag 22 juni 2019	FysioExpert Olympia Haarlem 	Tex Town Tigers 	2 - 4 	1176 	
Zaterdag 22 juni 2019	Twins Oosterhout 	Hoofddorp Pioniers 	1 - 3 	1146 	
Zaterdag 22 juni 2019	Twins Oosterhout 	Hoofddorp Pioniers 	2 - 1 	1145 	
Zondag 16 juni 2019	DSS 	ROEF! 	0 - 11 	17129 	
Zondag 16 juni 2019	DSS 	ROEF! 	0 - 8 	17132 	
Zondag 16 juni 2019	Sparks Haarlem 	Tex Town Tigers 	5 - 4 	17130 	
Zondag 16 juni 2019	Sparks Haarlem 	Tex Town Tigers 	3 - 4 	17131 	
Zondag 16 juni 2019	Zaterdag 15 juni 2019
Zondag 16 juni 2019	Tex Town Tigers 	Terrasvogels 	0 - 4 	1140 	
Zondag 16 juni 2019	Tex Town Tigers 	Terrasvogels 	7 - 4 	1139 	
Zondag 16 juni 2019	Hoofddorp Pioniers 	DSS 	2 - 0 	985 	
Zondag 16 juni 2019	Hoofddorp Pioniers 	DSS 	4 - 3 	984 	
Zondag 16 juni 2019	ROEF! 	Twins Oosterhout 	7 - 0 	1089 	
Zondag 16 juni 2019	ROEF! 	Twins Oosterhout 	4 - 8 	1088 	
Maandag 10 juni 2019	FysioExpert Olympia Haarlem 	Hoofddorp Pioniers 	8 - 1 	1168 	
Maandag 10 juni 2019	FysioExpert Olympia Haarlem 	Hoofddorp Pioniers 	5 - 1 	1167 	
Maandag 10 juni 2019	Twins Oosterhout 	Terrasvogels 	0 - 8 	1162 	
Maandag 10 juni 2019	Twins Oosterhout 	Terrasvogels 	2 - 10 	1161 	
Zaterdag 08 juni 2019	DSS 	ROEF! 	AFGELAST 	938 	
Zaterdag 08 juni 2019	DSS 	ROEF! 	AFGELAST 	937 	
Zaterdag 08 juni 2019	Sparks Haarlem 	Tex Town Tigers 	AFGELAST 	1108 	
Zaterdag 08 juni 2019	Sparks Haarlem 	Tex Town Tigers 	AFGELAST 	1107 	
